C0,C1,r,delta,theta,thetaG,alpha_0,beta_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.1500000000000001,0.0,1e-06,0.5944454444444446,1e-06,1.1500000000000001,0.22163362746463566,0.26635963580146915,"$U_D=0, \alpha_0=0$",constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.2000000000000002,0.0,1e-06,0.6444454444444446,1e-06,1.2000000000000002,0.1846889580201912,0.2913596358014692,"$U_D=0, \alpha_0=0$",constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.25,0.0,1e-06,0.6944454444444444,1e-06,1.25,0.1427442885757469,0.3163596358014691,"$U_D=0, \alpha_0=0$",constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.3,0.0,1e-06,0.7444454444444446,1e-06,1.3,0.0957996191313022,0.3413596358014692,"$U_D=0, \alpha_0=0$",constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.35,0.0,1e-06,0.7944454444444443,1e-06,1.35,0.043854949686858324,0.3663596358014689,"$U_D=0, \alpha_0=0$",constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.4000000000000001,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.4500000000000002,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.5,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.55,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.6,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
