C0,C1,r,delta,theta,thetaG,alpha_0,beta_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.0,0.0,0.2,0.2,0.4,0.4,0.30000000000000004,0.30000000000000004,unconstrained,unconstrained,0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.05,0.0,0.2,0.2,0.4,0.4,0.30000000000000004,0.30000000000000004,unconstrained,unconstrained,0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.1,0.0,0.2,0.2,0.4,0.4,0.30000000000000004,0.30000000000000004,unconstrained,unconstrained,0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.15000000000000002,0.0,0.2,0.2,0.4,0.4,0.30000000000000004,0.30000000000000004,unconstrained,unconstrained,0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.2,0.0,0.2,0.2,0.4,0.4,0.30000000000000004,0.30000000000000004,unconstrained,unconstrained,0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.25,0.0,0.2,0.2,0.4,0.4,0.30000000000000004,0.30000000000000004,unconstrained,unconstrained,0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.30000000000000004,0.0,0.2,0.2,0.4,0.4,0.30000000000000004,0.30000000000000004,unconstrained,unconstrained,0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.35000000000000003,0.0,0.25,0.0,0.4125,0.35000000000000003,0.31875,0.20390624999999998,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.4,0.0,0.25,0.0,0.4,0.4,0.3375,0.1875,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.45,0.0,0.25,0.0,0.3875,0.45,0.35625,0.16640624999999998,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.5,0.0,0.25,0.0,0.375,0.5,0.375,0.140625,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.55,0.0,0.25,0.0,0.3625,0.55,0.39375000000000004,0.11015625000000001,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.6000000000000001,0.0,0.25,0.0,0.35,0.6000000000000001,0.41250000000000003,0.0749999999999999,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.65,0.0,0.25,0.0,0.3375,0.65,0.43125,0.03515625,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.7000000000000001,0.0,0.25069309841430626,0.006307951181900602,0.3272700862097815,0.7000000000000001,0.44995754335099414,1.9256735290795746e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.75,0.0,0.253696060311968,0.03794105014614856,0.32568132284850515,0.75,0.46722669964715796,1.9601114684686394e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.8,0.0,0.25604644919740077,0.070215941398237,0.3236004345469601,0.8,0.4823208834644066,1.993346047335365e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.8500000000000001,0.0,0.2578048453804804,0.10307082015890935,0.32107255042020777,0.8500000000000001,0.4951632645130668,2.025493149648838e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.9,0.0,0.25902324044112596,0.1364530522367321,0.3181365035003089,0.9,0.5056835213175925,2.0566514645770084e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,0.9500000000000001,0.0,0.2597466464840545,0.1703173909321218,0.314825994217085,0.9500000000000001,0.5138169775286389,2.0869058295902576e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,1.0,0.0,0.2600143368496163,0.20462461432091916,0.31117049042984607,1.0,0.5195038903637113,2.1163297856396923e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,1.05,0.0,0.2598608166313216,0.23934046811729842,0.30719593366064624,1.05,0.5226888583824763,2.1449875595713763e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,1.1,0.0,0.259316591719429,0.2744348345567927,0.30292530035862714,1.1,0.523320324046942,2.172935622435368e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,1.1500000000000001,0.0,0.2584087853161503,0.3098810710740812,0.29837905308467055,1.1500000000000001,0.5213501524193869,2.2002239291607495e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,1.2000000000000002,0.0,0.25716163738924536,0.3456554783368695,0.2935755069734627,1.2000000000000002,0.5167332716468875,2.2268969154248808e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1.   0.25]
 [0.25 1.  ]]","[[1.   0.25]
 [0.25 1.  ]]",[1 1],0.5,1.25,0.0,0.2555969131660116,0.38173686808690865,0.2885311301877388,1.25,0.5094273640547364,2.2529943096705196e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
